cooperative,dominant
500,500
500,500
611,590
646,661
698,690
674,714
659,707
669,707
667,698
673,707
692,698
699,725
682,718
703,743
707,733
662,691
672,695
654,689
647,716
672,670
668,699
703,678
721,720
718,728
709,665
691,698
707,741
711,714
716,709
721,754
693,724
694,732
712,719
710,693
691,726
694,718
694,677
736,691
737,645
725,686
735,699
726,739
677,679
689,705
687,664
696,690
697,718
703,700
695,701
717,678
748,693
750,715
742,748
717,708
702,720
680,750
631,743
643,658
703,632
753,637
807,678
783,702
793,663
807,677
806,665
795,692
769,685
710,711
703,659
696,694
692,712
696,687
685,731
671,755
629,732
609,766
567,753
549,735
523,786
536,753
545,749
552,754
546,797
529,754
539,771
534,795
542,785
527,790
541,777
550,771
556,749
554,744
568,723
589,723
615,799
600,736
607,714
653,738
635,734
643,689
658,698
